"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","reactionEnergy"
1.8,0,8.4,0,31.8,7.6271492,1.18662356,4.40814017509068,1.4,3.8,1.914,67.8,4.2,10.2,68.52836,0.02,-0.370298634158615
1.8,0,6.8,11.2,70.2,8.2658308,1.123023592,4.8065997279405,1.36,7,2.146,64.6,5.8,8.6,173.75764,0.27,-0.38174877635808
1.8,1.6,10,11.2,75,7.44859072,0.54627156,3.99449108516729,1.76,3.8,2.25,79.8,5.8,13.4,187.33364,0.4,0.653393490742957
0.2,0,10,0,46.2,8.184718,0.71060756,4.44547984045378,1.44,3.8,2.146,69.4,5,10.2,106.70964,0.27,-0.291064934760442
1,0,9.2,11.2,71.8,8.6823108,1.9609786,5.3249071595362,1.4,5.4,2.21,68.6,5.8,10.2,177.64084,0.35,-0.302525825455604
1.8,0,6,11.2,69.4,7.7820628,0.309211912,4.09548614662384,1.4,6.2,1.906,60.6,5.8,7.8,170.53924,0.03,-0.669081397761119
1,0,8.4,0,45.4,7.4823668,1.1752082,4.32612982614416,1.4,5.4,2.21,66.2,5,9.4,103.89804,0.35,-0.450878344657184
1,0,7.6,0,44.6,7.4036468,1.0979122,4.25127445207797,1.36,7,2.146,63.8,5,8.6,102.42964,0.27,-0.43057865235366
1.8,0,2.8,0,26.2,6.7644388,0.404398784,3.56500248616712,1.6,3,1.474,29.4,4.2,4.6,57.5383696,0.57,-1.16991848275845
1.8,1.6,10,0,49.4,7.3903812,1.15055076,4.26970500018082,1.48,3.8,1.954,80.6,5,13.4,116.54164,0.03,0.696058219539765
1.8,0,4.4,11.2,67.8,7.5549036,0.523981984,4.16935110315946,1.48,4.6,1.586,55.8,5.8,6.2,166.331944,0.43,-1.03739632215635
1.8,0,6,0,43.8,7.2107508,0.7024946,4.0127849395093,1.4,6.2,1.906,61.4,5,7.8,99.97364,0.03,-0.661377582858194
1.8,0,3.6,0,27,6.9777428,0.3213306,3.63141860489047,1.44,3.8,1.618,55,4.2,5.4,59.86724,0.39,-1.11419337805907
1.8,0.8,10,11.2,74.2,6.40187664,0.516937152,3.37717745947567,1.84,3,1.682,76.6,5.8,12.6,185.08028,0.31,0.642876971241122
1.8,0,4.4,0,27.8,6.9121964,0.6830242,3.7836457128784,1.4,4.6,1.69,57.4,4.2,6.2,62.32684,0.3,-1.02312653635724
1.8,0,5.2,11.2,68.6,7.8064708,0.914095256,4.40606343510083,1.4,5.4,2.274,58.2,5.8,7,168.64564,0.43,-1.04889530875786
1.8,0,2.8,0,40.6,6.4890548,0.50992836,3.47008488841595,1.76,3,1.362,34.2,5,4.6,92.69832,0.71,-1.08344410615879
1.8,0,10,0,33.4,9.0306044,-0.2351054,4.64455640047072,1.4,2.2,1.706,75,4.2,11.8,73.90084,0.28,0.528792428035587
1.8,0,3.6,0,41.4,6.8225476,0.6075258,3.69579637356112,1.56,3.8,1.45,53.4,5,5.4,94.55284,0.6,-1.03872287705869
1.5,0.5,5,0,30,6.7810015,0.868654,3.77674435991788,1.425,3,1.77,75.5,4,12,67.4248693,0.32,0.356509945741919
1,0,10,7,63,8.400894,1.806541625,5.05999183186177,1.475,4,2.235,70.5,5.5,11,152.4173845,0.61,0.319611853440648
1.5,1.5,10,7,65,7.430875,1.123417565,4.27451343014206,1.6,4,1.975,79,5.5,13,158.4243,0.0900000000000001,0.552927837045928
1.5,0,10,0,47.5,8.285027,0.2922365,4.468189333398,1.575,2.5,1.81,73,5,11.5,110.1396,0.24,0.517986107145617
1.5,0,8.5,0,37,7.728622,0.983364235,4.35423336813233,1.475,4,1.905,67.5,4.5,10,83.4006975,0.05,-0.236969792159442
1,0,10,0,38,7.651307,1.2701285,4.45813773101472,1.475,3.5,1.915,71.5,4.5,11,85.7071,0.03,0.0519798657487911
1.5,0,8,0,36.5,7.73935105,0.728854675,4.2312370593704,1.5,4.5,1.88,66,4.5,9.5,81.8566,0.0999999999999999,-0.307076657357328
1.5,0.5,10,0,39,6.787768,0.802819575,3.73909382251132,1.45,3,1.87,76,4.5,12,88.7956,0.12,0.576045268245281
1.5,0,6,7,59.5,7.200652,0.7412715,3.8922402034364,1.575,3.5,1.615,60.5,5.5,7.5,143.1791,0.63,-0.788540189262648
1.5,0,10,7,63.5,9.006869,0.3922365,4.81346748560555,1.55,3.5,1.965,72.5,5.5,11.5,154.2291,0.0700000000000001,0.875933902440949
1.5,0.5,10,0,48,6.68129485,0.8017365,3.67548595913887,1.575,3,1.855,75,5,12,111.3431,0.15,0.658771548639408
1.5,0,8.5,7,62,8.271627,1.43426506,4.8702480060281,1.475,4.5,2.065,68.5,5.5,10,150.0426,0.27,-0.315647971160587
1.5,0,5.5,0,52,6.576567,0.9310096,3.6720417069405,1.775,3,1.515,52,5.5,7,123.386835,0.83,-0.557652413556724
1.5,0,7.5,0,36,7.505136,0.3922365,4.0623015637553,1.5,5,1.74,65.5,4.5,9,81.4031225,0.38,2.43697779614107
1,0,7.5,0,44.5,7.334332,1.0258555,4.17099895543751,1.525,4.5,2.045,63.5,5,8.5,101.9041,0.23,-0.616801254363026
1,0,7,0,44,7.167542,1.11094,4.12105836198676,1.525,4,1.765,62,5,8,100.38729,0.33,-0.65941591425414
1.5,0,9,0,37.5,7.608056,1.2308171,4.41978521737338,1.475,3.5,1.92,69,4.5,10.5,83.2808,0.02,-0.291363443763629
1.5,0,8,7,61.5,8.007232,1.19106712,4.66541483307828,1.45,5.5,2.065,67,5.5,9.5,149.0491,0.27,0.218940753745329
1.5,1,10,7,64.5,7.49645695,0.8305971,4.15580300239059,1.7,3.5,2.13,76.5,5.5,12.5,157.5341,0.4,0.602678138043331
0.5,0,10,0,46.5,7.9565365,0.9333071,4.4431471390662,1.5,3.5,2.065,70,5,10.5,107.1441,0.27,-0.199235902261506
1,0,9.5,7,62.5,8.267532,1.714789,4.97377995196819,1.475,4.5,2.105,69.5,5.5,10.5,151.4761,0.35,-0.340017534158477
1.5,0,7.5,7,61,7.704877,0.68243482,4.22116623545476,1.475,5,1.915,64.5,5.5,9,147.0376,0.03,-0.613233025657763
1,0,9,0,46,7.517567,1.2236825,4.36821252809324,1.475,4.5,2.105,68,5,10,105.38685,0.35,-0.295158751460775
1,0,8.5,0,45.5,7.468367,1.1753725,4.32081832987747,1.45,5.5,2.065,66.5,5,9.5,104.4691,0.27,-0.222048701957618
1.5,0,5.5,0,34,7.068862,0.741926615,3.8706057773078,1.6,3,1.645,45,4.5,7,76.412056,0.57,-0.776159281757799
1.5,1,10,0,48.5,7.460076,1.2082716,4.33251635808462,1.525,3.5,1.945,77,5,12.5,113.2891,0.03,0.68157087874809
1.5,0,6.5,7,60,7.5629025,0.816666115,4.26858894575619,1.525,4,1.715,61.5,5.5,8,144.40804,0.43,-0.750986302656173
1.5,0,7.5,0,45,7.347807,0.9282365,4.16768820035402,1.475,5,1.915,65,5,9,102.9341,0.03,-0.484114873156585
1.5,0,6,0,34.5,7.202177,0.690009,3.9155181259458,1.5,3.5,1.735,61,4.5,7.5,77.8676,0.39,-0.690483015153376
1.5,0.5,10,7,64,6.84226065,0.812263095,3.74186158572311,1.75,3,1.775,74.5,5.5,12,156.12575,0.31,0.599313314342936
1.5,0,6.5,0,35,7.1612105,0.9160675,4.0173121870427,1.475,4,1.78,62.5,4.5,8,79.40485,0.3,-0.63029116195591
1.5,0,7,7,60.5,7.720132,1.06048691,4.41848371105306,1.475,4.5,2.145,63,5.5,8.5,145.8541,0.43,-0.722673946263029
1.5,0,5.5,0,43,6.896747,0.8078826,3.8058713545385,1.7,3,1.575,48,5,7,98.387025,0.71,-0.802010776659671
1.5,0,10,0,38.5,8.4852155,0.3422365,4.56648139958339,1.475,2.5,1.79,73.5,4.5,11.5,86.6386,0.28,0.43932956123993
1.5,0,6,0,43.5,7.10518,0.868881,3.95875900448548,1.575,3.5,1.63,60,5,7.5,99.5461,0.6,-0.723656957458815
1.2,0.2,8,0,40.2,7.258141,1.1301454,4.16134289805913,1.53,3,1.866,72.8,4.6,11.4,91.69086772,0.32,0.247755024146528
1,0,10,2.8,53.4,7.906098,1.50530045,4.67785110368838,1.55,3.4,2.052,70.8,5.2,11,125.6878738,0.61,0.340619586045278
1.2,0.6,10,2.8,54.2,7.5180904,1.232050826,4.37261401195346,1.6,3.4,1.948,74.2,5.2,11.8,128.09064,0.0900000000000001,0.43802531964414
1.2,0,9.4,0,43,7.6371892,1.176029494,4.40505310511442,1.55,3.4,1.92,69.6,4.8,10.6,98.081199,0.05,-0.0883542749570268
1,0,9,0,42.4,7.4142892,1.178764054,4.28433302697141,1.56,3.6,1.876,68.2,4.8,10,96.69378,0.27,-0.305989426457899
1,0,10,0,43.4,7.6062632,1.2907352,4.4468026969932,1.55,3.2,1.924,71.2,4.8,11,99.00376,0.03,0.17736107893964
1.2,0,9.2,0,42.8,7.64148082,1.07422567,4.35485210850466,1.56,3.6,1.91,69,4.8,10.4,97.46356,0.0999999999999999,-0.0167537769584385
1.2,0.2,10,0,43.8,7.2608476,1.10381163,4.14469915789466,1.54,3,1.906,73,4.8,11.4,100.23916,0.12,0.367787839845761
1.2,0,8.4,2.8,52,7.4260012,1.0791924,4.21178624040597,1.59,3.2,1.804,66.8,5.2,9.6,121.99256,0.63,-0.297241238759824
1.2,0,10,2.8,53.6,8.148488,0.9395784,4.58532037169236,1.58,3.2,1.944,71.6,5.2,11.2,126.41256,0.0700000000000001,0.801479882641644
1.2,0,9.4,2.8,53,7.8543912,1.356389824,4.60687998670612,1.55,3.6,1.984,70,5.2,10.6,124.73796,0.27,-0.548683541360305
1.2,0,8.2,0,49,7.1763672,1.15508764,4.11480737795796,1.67,3,1.764,63.4,5.2,9.4,114.075654,0.83,0.0406928558377615
1,0,9,0,46,7.4794732,1.193026,4.32994619957834,1.57,3.6,1.976,68,5,10,105.48256,0.23,-0.432336915858258
1,0,8.8,0,45.8,7.4127572,1.2270598,4.30913374521261,1.57,3.4,1.864,67.4,5,9.8,104.875836,0.33,-0.371155520761903
1.2,0,9.6,0,43.2,7.5889628,1.27501064,4.43146102251851,1.55,3.2,1.926,70.2,4.8,10.8,98.03324,0.02,-0.0399177395583763
1.2,0,9.2,2.8,52.8,7.7486332,1.259110648,4.5283769809626,1.54,4,1.984,69.4,5.2,10.4,124.34056,0.27,-0.60634038205805
1.2,0.4,10,2.8,54,7.54432318,1.11492264,4.32362927503074,1.64,3.2,2.01,73.2,5.2,11.6,127.73456,0.4,0.346115197048704
0.8,0,10,0,46.8,7.728355,1.15600664,4.44081566173002,1.56,3.2,1.984,70.6,5,10.8,107.57856,0.27,0.130617363641278
1,0,9.8,2.8,53.2,7.8527532,1.4685994,4.64580625904385,1.55,3.6,2,70.4,5.2,10.8,125.31136,0.35,-0.227120359652844
1.2,0,9,2.8,52.6,7.6276912,1.055657728,4.35070312764504,1.55,3.8,1.924,68.4,5.2,10.2,123.53596,0.03,-0.634788931557495
1,0,9.6,0,46.6,7.5527672,1.2721568,4.41070459219152,1.55,3.6,2,69.8,5,10.6,106.87566,0.35,-0.268836227455694
1,0,9.4,0,46.4,7.5330872,1.2528328,4.39149983146341,1.54,4,1.984,69.2,5,10.4,106.50856,0.27,-0.394916092954162
1.2,0,8.2,0,41.8,7.3732852,1.079454446,4.20240634935316,1.6,3,1.816,60.6,4.8,9.4,95.2857424,0.57,-0.0923675459625599
1.2,0.4,10,0,47.6,7.5297708,1.26599244,4.39625172986797,1.57,3.2,1.936,73.4,5,11.6,110.03656,0.03,0.373443862045889
1.2,0,8.6,2.8,52.2,7.5709014,1.109350246,4.37018882243439,1.57,3.4,1.844,67.2,5.2,9.8,122.484136,0.43,-0.479593565657495
1.2,0,9,0,46.2,7.4848632,1.1539784,4.32857110391123,1.55,3.8,1.924,68.6,5,10.2,105.89456,0.03,-0.445411849758756
1.2,0,8.4,0,42,7.4266112,1.0586874,4.22184381992298,1.56,3.2,1.852,67,4.8,9.6,95.86796,0.39,-0.220122544159466
1.2,0.2,10,2.8,53.8,7.28264466,1.107589038,4.14592608612403,1.66,3,1.868,72.4,5.2,11.4,127.17122,0.31,0.793134831445997
1.2,0,8.6,0,42.2,7.4102246,1.1491108,4.26540919336875,1.55,3.4,1.87,67.6,4.8,9.8,96.48286,0.3,-0.281952114454697
1.2,0,8.8,2.8,52.4,7.6337932,1.206878564,4.43093899858807,1.55,3.6,2.016,67.8,5.2,10,123.06256,0.43,-0.580297863255481
1.2,0,8.2,0,45.4,7.3044392,1.10583684,4.17415055627322,1.64,3,1.788,61.8,5,9.4,104.07573,0.71,-0.0326275376564524
1.2,0,10,0,43.6,7.9398266,0.9195784,4.48971883959201,1.55,2.8,1.874,72,4.8,11.2,99.37636,0.28,0.395082354444668
1.2,0,8.4,0,45.6,7.3878124,1.1302362,4.2404319046653,1.59,3.2,1.81,66.6,5,9.6,104.53936,0.6,-0.248892051858064
2,1,0,0,13,5.985769,0.432835,3.21310116086236,1.25,3,1.61,80,3,13,26.9815386,0,0.302502967932043
1.2,0.2,8,11.2,65.8,8.577597,1.9334552,5.13069220101806,1.33,4.6,2.354,72,5.4,11.4,162.96956292,0.93,0.312747101542328
2,0.2,8,0,41,8.3922098,-0.489433,4.20481375347047,1.49,2.2,1.674,76,4.6,12.2,95.32510772,0.0799999999999999,0.320634321141398
2,0.2,5.6,0,24.2,7.5019618,0.616371376,4.03454885477465,1.33,4.6,1.826,67.2,3.8,9.8,52.54286372,0.27,-0.542002330351323
1.2,0.2,4,0,21.8,6.6103618,0.627309616,3.61013358369498,1.37,5.4,1.65,61.6,3.8,7.4,46.99318772,0.0499999999999998,-0.936659915157151
1.2,0.2,8,0,25.8,7.3782578,1.0751942,4.18968938681419,1.33,3.8,1.842,73.6,3.8,11.4,56.23310772,0.29,-0.0413019826582683
2,0.2,4.8,0,23.4,7.51912828,0.20915608,3.85375435586197,1.37,5.4,1.786,64.8,3.8,9,50.07230772,0.22,-0.53569146625793
2,1,8,0,27.4,5.9965954,0.32749992,3.16200415675141,1.29,3,1.77,80.8,3.8,13,61.17470772,0.2,0.320884665940895
2,0.2,1.6,11.2,60.2,6.6572098,0.229023,3.37175236562348,1.49,3.8,1.362,56,5.4,5.8,148.18830772,0.31,-1.03859348695821
2,0.2,8,11.2,66.6,9.547157,-0.329433,4.73662632347087,1.45,3.8,1.922,75.2,5.4,12.2,165.86830772,0.39,0.234164298540264
2,1,8,0,41.8,5.82623836,0.325767,3.07637933191743,1.49,3,1.746,79.2,4.6,13,97.25070772,0.17,0.255206181341265
2,0.2,5.6,11.2,64.2,8.3707698,1.337812696,4.82634073766505,1.33,5.4,2.082,68.8,5.4,9.8,159.16990772,0.59,-0.294310164455027
2,0.2,0.8,0,48.2,5.6586738,0.53260396,3.07176808986354,1.81,3,1.202,42.4,5.4,5,116.52068372,0.51,-0.679119677256466
1.2,0.2,4,0,36.2,6.8710978,0.6843574,3.76634748601831,1.41,5.4,2.05,60.8,4.6,7.4,82.14830772,0.55,-0.896129239058581
1.2,0.2,3.2,0,35.4,6.6042338,0.8204926,3.69445414156136,1.41,4.6,1.602,58.4,4.6,6.6,79.72141172,0.01,-0.992032904257002
2,0.2,6.4,0,25,7.3090562,1.01229596,4.13216942710864,1.33,3.8,1.85,69.6,3.8,10.6,52.35102772,0.3,-0.587438946756237
2,0.2,4.8,11.2,63.4,7.9477378,0.948695992,4.50568349808338,1.29,7,2.082,66.4,5.4,9,157.58030772,0.59,-0.321423451258823
2,1.8,8,11.2,68.2,7.13049772,0.37194396,3.74441675703898,1.69,3.8,2.186,81.6,5.4,13.8,171.15630772,0.72,0.196901029442444
0.4,0.2,8,0,39.4,7.866625,0.53627996,4.16717145007146,1.37,3.8,2.082,71.2,4.6,10.6,90.53230772,0.59,-0.2357480010605
1.2,0.2,7.2,11.2,65,8.3642178,1.786651,4.99154239494545,1.33,5.4,2.146,70.4,5.4,10.6,161.46350772,0.67,-0.278978318455273
2,0.2,4,11.2,62.6,7.4639698,0.134884312,3.83908904255248,1.33,6.2,1.842,62.4,5.4,8.2,154.36190772,0.29,-0.545231505358032
1.2,0.2,6.4,0,38.6,7.1642738,1.0008806,4.05529331991534,1.33,5.4,2.146,68,4.6,9.8,87.72070772,0.67,-0.347161338758241
1.2,0.2,5.6,0,37.8,7.0855538,0.9235846,3.98512425180836,1.29,7,2.082,65.6,4.6,9,86.25230772,0.59,-0.444971569558192
2,0.2,0.8,0,19.4,6.4463458,0.230071184,3.34181620724051,1.53,3,1.41,31.2,3.8,5,41.36103732,0.25,-1.14365881695718
2,1.8,8,0,42.6,7.0722882,0.97622316,4.00240095907502,1.41,3.8,1.89,82.4,4.6,13.8,100.36430772,0.35,0.267895121743123
2,0.2,2.4,11.2,61,7.2368106,0.349654384,3.90832969802345,1.41,4.6,1.522,57.6,5.4,6.6,150.15461172,0.11,-1.03173853116002
2,0.2,4,0,37,6.8926578,0.528167,3.76156532823079,1.33,6.2,1.842,63.2,4.6,8.2,83.79630772,0.29,-0.554823926256148
2,0.2,1.6,0,20.2,6.6596498,0.147003,3.40407435792425,1.37,3.8,1.554,56.8,3.8,5.8,43.68990772,0.0700000000000001,-1.08086092955907
2,1,8,11.2,67.4,6.08378364,0.342609552,3.16574992937441,1.77,3,1.618,78.4,5.4,13,168.90294772,0.01,0.152126193942451
2,0.2,2.4,0,21,6.5941034,0.5086966,3.54677131778033,1.33,4.6,1.626,59.2,3.8,6.6,46.14950772,0.0199999999999998,-1.04398297365967
2,0.2,3.2,11.2,61.8,7.4883778,0.739767656,4.13022270101708,1.33,5.4,2.21,60,5.4,7.4,152.46830772,0.75,-0.925317393956874
2,0.2,0.8,0,33.8,6.1709618,0.33560076,3.25284090701338,1.69,3,1.298,36,4.6,5,76.52098772,0.39,-1.09912915605761
2,0.2,8,0,26.6,8.7125114,-0.409433,4.35378486123392,1.33,2.2,1.642,76.8,3.8,12.2,57.72350772,0.0399999999999998,0.45813153903967
2,0.2,1.6,0,34.6,6.5044546,0.4331982,3.46442176905912,1.49,3.8,1.386,55.2,4.6,5.8,78.37550772,0.28,-1.04133489785906
1.5,0.5,5,7,46,7.6056615,1.370722625,4.30483614444654,1.3,4,2.075,75,4.5,12,111.9740538,0.93,0.263577899641888
2,2,5,7,48,6.6356425,0.687598565,3.63658292848019,1.425,4,1.815,83.5,4.5,14,117.9809693,0.41,-0.007878648058039
2,0.5,5,0,30.5,7.4897945,-0.1435825,3.80135454399833,1.4,2.5,1.65,77.5,4,12.5,69.6962693,0.0799999999999999,0.311280544042376
2,0.5,3.5,0,20,6.9333895,0.547545235,3.70440542343612,1.3,4,1.745,72,3.5,11,42.9573668,0.27,-0.501473151059116
1.5,0.5,2.5,0,18.5,6.3761395,0.554381635,3.45580075146155,1.325,4.5,1.635,68.5,3.5,9.5,39.4888193,0.0499999999999998,-0.556522868958354
1.5,0.5,5,0,21,6.8560745,0.8343095,3.79280304773372,1.3,3.5,1.755,76,3.5,12,45.2637693,0.29,0.331615202944732
2,0.5,3,0,19.5,6.94411855,0.293035675,3.59976514471911,1.325,4.5,1.72,70.5,3.5,10.5,41.4132693,0.22,-0.448970962758693
2,1,5,0,22,5.9925355,0.367000575,3.18106960830825,1.275,3,1.71,80.5,3.5,13,48.3522693,0.2,0.296815788738087
2,0.5,1,7,42.5,6.4054195,0.3054525,3.3113603474842,1.4,3.5,1.455,65,4.5,8.5,102.7357693,0.31,-0.716128519959028
2,0.5,5,7,46.5,8.2116365,-0.0435825,4.09510321373954,1.375,3.5,1.805,77,4.5,12.5,113.7857693,0.39,0.325671692563475
2,1,5,0,31,5.88606235,0.3659175,3.12695461397318,1.4,3,1.695,79.5,4,13,70.8997693,0.17,0.294016961842345
2,0.5,3.5,7,45,7.4763945,0.99844606,4.14340978116843,1.3,4.5,1.905,73,4.5,11,109.5992693,0.59,-0.438079470356541
2,0.5,0.5,0,35,5.7813345,0.4951906,3.12402438367898,1.6,3,1.355,56.5,4.5,8,82.9435043,0.51,-0.636933188608026
2,0.5,2.5,0,19,6.7099035,-0.0435825,3.45604166615051,1.325,5,1.58,70,3.5,10,40.9597918,0.0600000000000001,-0.417507936260307
1.5,0.5,2.5,0,27.5,6.5390995,0.5900365,3.54851700525564,1.35,4.5,1.885,68,4,9.5,61.4607693,0.55,-0.509015738357419
1.5,0.5,2,0,27,6.3723095,0.675121,3.50602957070917,1.35,4,1.605,66.5,4,9,59.9439593,0.01,-0.588206443758253
2,0.5,4,0,20.5,6.8128235,0.7949981,3.76017428222584,1.3,3.5,1.76,73.5,3.5,11.5,42.8374693,0.3,-0.159156254957423
2,0.5,3,7,44.5,7.2119995,0.75524812,3.96914601241219,1.275,5.5,1.905,71.5,4.5,10.5,108.6057693,0.59,-0.470225366457242
2,1.5,5,7,47.5,6.70122445,0.3947781,3.53558890376864,1.525,3.5,1.97,81,4.5,13.5,117.0907693,0.72,0.317256844243303
1,0.5,5,0,29.5,7.161304,0.4974881,3.78004965915308,1.325,3.5,1.905,74.5,4,11.5,66.7007693,0.59,0.180688078741724
1.5,0.5,4.5,7,45.5,7.4722995,1.27897,4.23149056821267,1.3,4.5,1.945,74,4.5,11.5,111.0327693,0.67,0.156623419342424
2,0.5,2.5,7,44,6.9096445,0.24661582,3.59119729555314,1.3,5,1.755,69,4.5,10,106.5942693,0.29,-0.303342983356714
1.5,0.5,4,0,29,6.7223345,0.7878635,3.71629832664,1.3,4.5,1.945,72.5,4,11,64.9435193,0.67,-0.205309891257429
1.5,0.5,3.5,0,28.5,6.6731345,0.7395535,3.67597726204231,1.275,5.5,1.905,71,4,10.5,64.0257693,0.59,-0.478935050158697
2,0.5,0.5,0,17,6.2736295,0.306107615,3.29295465382747,1.425,3,1.485,49.5,3.5,8,35.9687253,0.25,-0.706210514727871
2,1.5,5,0,31.5,6.6648435,0.7724526,3.6859294707253,1.35,3.5,1.785,81.5,4,13.5,72.8457693,0.35,0.267223136640524
2,0.5,1.5,7,43,6.76767,0.380847115,3.63154261707871,1.35,4,1.555,66,4.5,9,103.9647093,0.11,-0.654529293858076
2,0.5,2.5,0,28,6.5525745,0.4924175,3.54570034890077,1.3,5,1.755,69.5,4,10,62.4907693,0.29,-0.556697157958269
2,0.5,1,0,17.5,6.4069445,0.25419,3.33116426130775,1.325,3.5,1.575,65.5,3.5,8.5,37.4242693,0.0700000000000001,-0.740299303758519
2,0.5,1.5,0,18,6.365978,0.4802485,3.41776652630364,1.3,4,1.62,67,3.5,9,38.9615193,0.0199999999999998,-0.653509139158786
2,0.5,2,7,43.5,6.9248995,0.62466791,3.75906701335345,1.3,4.5,1.985,67.5,4.5,9.5,105.4107693,0.75,-0.787217988158744
2,0.5,0.5,0,26,6.1015145,0.3720636,3.23788122837796,1.525,3,1.415,52.5,4,8,57.9436943,0.39,-0.768548393737518
2,0.5,5,0,21.5,7.689983,-0.0935825,3.88497745353799,1.3,2.5,1.63,78,3.5,12.5,46.1952693,0.0399999999999998,0.438077973639366
2,0.5,1,0,26.5,6.3099475,0.433062,3.36795184971513,1.4,3.5,1.47,64.5,4,8.5,59.1027693,0.28,-0.681583804157498
1.8,0.8,2,2.8,26.2,6.633726,0.80799005,3.61191307224709,1.27,3.4,1.796,78,3.6,12.6,60.97854468,0.93,0.335290100411868
2,1.4,2,2.8,27,6.2457184,0.534740426,3.37623010215367,1.32,3.4,1.692,81.4,3.6,13.4,63.38131088,0.41,0.31324711074106
2,0.8,2,0,20,6.5873792,0.202268,3.4366079489847,1.31,2.8,1.626,79,3.4,12.8,44.06743088,0.0799999999999999,0.301515874971329
2,0.8,1.4,0,15.8,6.3648172,0.478719094,3.40127732619796,1.27,3.4,1.664,76.8,3.2,12.2,33.37186988,0.27,0.125612237742672
1.8,0.8,1,0,15.2,6.1419172,0.481453654,3.30806563162658,1.28,3.6,1.62,75.4,3.2,11.6,31.98445088,0.0499999999999998,0.0508349467718574
1.8,0.8,2,0,16.2,6.3338912,0.5934248,3.43351347337868,1.27,3.2,1.668,78.4,3.2,12.6,34.29443088,0.29,0.345867301341997
2,0.8,1.2,0,15.6,6.36910882,0.37691527,3.36251558883705,1.28,3.6,1.654,76.2,3.2,12,32.75423088,0.22,0.190537647243247
2,1,2,0,16.6,5.9884756,0.40650123,3.20025001589458,1.26,3,1.65,80.2,3.2,13,35.52983088,0.2,0.295725700642862
2,0.8,0.4,2.8,24.8,6.1536292,0.381882,3.25205002083926,1.31,3.2,1.548,74,3.6,11.2,57.28323088,0.31,-0.179603841158468
